"Statistic Label","Quarter","Sex","NACE Rev 2 Economic Sector","UNIT","VALUE"
"Persons aged 15-89 years in Employment","2013Q3","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","138.5"
"Persons aged 15-89 years in Employment","2013Q3","Male","Transportation and storage (H)","Thousand","68.3"
"Persons aged 15-89 years in Employment","2013Q3","Male","Accommodation and food service activities (I)","Thousand","72.3"
"Persons aged 15-89 years in Employment","2013Q3","Male","Information and communication (J)","Thousand","66.8"
"Persons aged 15-89 years in Employment","2013Q3","Male","Professional, scientific and technical activities (M)","Thousand","71.4"
"Persons aged 15-89 years in Employment","2013Q3","Male","Administrative and support service activities (N)","Thousand","43.8"
"Persons aged 15-89 years in Employment","2013Q3","Male","Public administration and defence, compulsory social security (O)","Thousand","46.4"
"Persons aged 15-89 years in Employment","2013Q3","Male","Education (P)","Thousand","36.3"
"Persons aged 15-89 years in Employment","2013Q3","Male","Human health and social work activities (Q)","Thousand","55.8"
"Persons aged 15-89 years in Employment","2013Q3","Male","Industry (B to E)","Thousand","176.2"
"Persons aged 15-89 years in Employment","2013Q3","Male","Industry and Construction (B to F)","Thousand","259.7"
"Persons aged 15-89 years in Employment","2013Q3","Male","Services (G to U)","Thousand","698.6"
"Persons aged 15-89 years in Employment","2013Q3","Male","Financial, insurance and real estate activities (K,L)","Thousand","50.6"
"Persons aged 15-89 years in Employment","2013Q3","Male","Other NACE activities (R to U)","Thousand","48.5"
"Persons aged 15-89 years in Employment","2013Q3","Male","Not stated","Thousand","3.4"
"Persons aged 15-89 years in Employment","2013Q3","Female","All NACE economic sectors","Thousand","902.6"
"Persons aged 15-89 years in Employment","2013Q3","Female","Agriculture, forestry and fishing (A)","Thousand","14.6"
"Persons aged 15-89 years in Employment","2013Q3","Female","Construction (F)","Thousand","5.7"
"Persons aged 15-89 years in Employment","2013Q3","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","146.3"
"Persons aged 15-89 years in Employment","2013Q3","Female","Transportation and storage (H)","Thousand","15.4"
"Persons aged 15-89 years in Employment","2013Q3","Female","Accommodation and food service activities (I)","Thousand","72.3"
"Persons aged 15-89 years in Employment","2013Q3","Female","Information and communication (J)","Thousand","30.7"
"Persons aged 15-89 years in Employment","2013Q3","Female","Professional, scientific and technical activities (M)","Thousand","50.1"
"Persons aged 15-89 years in Employment","2013Q3","Female","Administrative and support service activities (N)","Thousand","35"
"Persons aged 15-89 years in Employment","2013Q3","Female","Public administration and defence, compulsory social security (O)","Thousand","41"
"Persons aged 15-89 years in Employment","2013Q3","Female","Education (P)","Thousand","100.3"
"Persons aged 15-89 years in Employment","2013Q3","Female","Human health and social work activities (Q)","Thousand","202.1"
"Persons aged 15-89 years in Employment","2013Q3","Female","Industry (B to E)","Thousand","73.6"
"Persons aged 15-89 years in Employment","2013Q3","Female","Industry and Construction (B to F)","Thousand","79.3"
"Persons aged 15-89 years in Employment","2013Q3","Female","Services (G to U)","Thousand","806.3"
"Persons aged 15-89 years in Employment","2013Q3","Female","Financial, insurance and real estate activities (K,L)","Thousand","53.7"
"Persons aged 15-89 years in Employment","2013Q3","Female","Other NACE activities (R to U)","Thousand","59.6"
"Persons aged 15-89 years in Employment","2013Q3","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","All NACE economic sectors","Thousand","1969.6"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Agriculture, forestry and fishing (A)","Thousand","115.5"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Construction (F)","Thousand","87.7"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","282.1"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Transportation and storage (H)","Thousand","84.9"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Accommodation and food service activities (I)","Thousand","142.3"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Information and communication (J)","Thousand","98.2"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Professional, scientific and technical activities (M)","Thousand","125.7"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Administrative and support service activities (N)","Thousand","79.1"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","86.9"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Education (P)","Thousand","142.1"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Human health and social work activities (Q)","Thousand","263.3"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Industry (B to E)","Thousand","252.4"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Industry and Construction (B to F)","Thousand","340.1"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Services (G to U)","Thousand","1510.2"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","100.1"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Other NACE activities (R to U)","Thousand","105.5"
"Persons aged 15-89 years in Employment","2013Q4","Both sexes","Not stated","Thousand","3.8"
"Persons aged 15-89 years in Employment","2013Q4","Male","All NACE economic sectors","Thousand","1068.7"
"Persons aged 15-89 years in Employment","2013Q4","Male","Agriculture, forestry and fishing (A)","Thousand","97.9"
"Persons aged 15-89 years in Employment","2013Q4","Male","Construction (F)","Thousand","81.5"
"Persons aged 15-89 years in Employment","2013Q4","Male","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","139.6"
"Persons aged 15-89 years in Employment","2013Q4","Male","Transportation and storage (H)","Thousand","68.9"
"Persons aged 15-89 years in Employment","2013Q4","Male","Accommodation and food service activities (I)","Thousand","74.8"
"Persons aged 15-89 years in Employment","2013Q4","Male","Information and communication (J)","Thousand","68"
"Persons aged 15-89 years in Employment","2013Q4","Male","Professional, scientific and technical activities (M)","Thousand","73.7"
"Persons aged 15-89 years in Employment","2013Q4","Male","Administrative and support service activities (N)","Thousand","45.7"
"Persons aged 15-89 years in Employment","2013Q4","Male","Public administration and defence, compulsory social security (O)","Thousand","46.9"
"Persons aged 15-89 years in Employment","2013Q4","Male","Education (P)","Thousand","38.9"
"Persons aged 15-89 years in Employment","2013Q4","Male","Human health and social work activities (Q)","Thousand","56.6"
"Persons aged 15-89 years in Employment","2013Q4","Male","Industry (B to E)","Thousand","180.3"
"Persons aged 15-89 years in Employment","2013Q4","Male","Industry and Construction (B to F)","Thousand","261.8"
"Persons aged 15-89 years in Employment","2013Q4","Male","Services (G to U)","Thousand","706.7"
"Persons aged 15-89 years in Employment","2013Q4","Male","Financial, insurance and real estate activities (K,L)","Thousand","48.8"
"Persons aged 15-89 years in Employment","2013Q4","Male","Other NACE activities (R to U)","Thousand","44.9"
"Persons aged 15-89 years in Employment","2013Q4","Male","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2013Q4","Female","All NACE economic sectors","Thousand","900.8"
"Persons aged 15-89 years in Employment","2013Q4","Female","Agriculture, forestry and fishing (A)","Thousand","17.6"
"Persons aged 15-89 years in Employment","2013Q4","Female","Construction (F)","Thousand","6.1"
"Persons aged 15-89 years in Employment","2013Q4","Female","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","142.5"
"Persons aged 15-89 years in Employment","2013Q4","Female","Transportation and storage (H)","Thousand","16"
"Persons aged 15-89 years in Employment","2013Q4","Female","Accommodation and food service activities (I)","Thousand","67.5"
"Persons aged 15-89 years in Employment","2013Q4","Female","Information and communication (J)","Thousand","30.3"
"Persons aged 15-89 years in Employment","2013Q4","Female","Professional, scientific and technical activities (M)","Thousand","52"
"Persons aged 15-89 years in Employment","2013Q4","Female","Administrative and support service activities (N)","Thousand","33.5"
"Persons aged 15-89 years in Employment","2013Q4","Female","Public administration and defence, compulsory social security (O)","Thousand","40"
"Persons aged 15-89 years in Employment","2013Q4","Female","Education (P)","Thousand","103.2"
"Persons aged 15-89 years in Employment","2013Q4","Female","Human health and social work activities (Q)","Thousand","206.7"
"Persons aged 15-89 years in Employment","2013Q4","Female","Industry (B to E)","Thousand","72.1"
"Persons aged 15-89 years in Employment","2013Q4","Female","Industry and Construction (B to F)","Thousand","78.3"
"Persons aged 15-89 years in Employment","2013Q4","Female","Services (G to U)","Thousand","803.5"
"Persons aged 15-89 years in Employment","2013Q4","Female","Financial, insurance and real estate activities (K,L)","Thousand","51.3"
"Persons aged 15-89 years in Employment","2013Q4","Female","Other NACE activities (R to U)","Thousand","60.6"
"Persons aged 15-89 years in Employment","2013Q4","Female","Not stated","Thousand",""
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","All NACE economic sectors","Thousand","1950.8"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Agriculture, forestry and fishing (A)","Thousand","109.5"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Construction (F)","Thousand","87.1"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Wholesale and retail trade, repair of motor vehicles and motorcycles (G)","Thousand","281.2"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Transportation and storage (H)","Thousand","84.9"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Accommodation and food service activities (I)","Thousand","140.1"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Information and communication (J)","Thousand","96.4"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Professional, scientific and technical activities (M)","Thousand","126"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Administrative and support service activities (N)","Thousand","76.8"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Public administration and defence, compulsory social security (O)","Thousand","88.2"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Education (P)","Thousand","145.7"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Human health and social work activities (Q)","Thousand","258.2"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Industry (B to E)","Thousand","245.4"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Industry and Construction (B to F)","Thousand","332.4"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Services (G to U)","Thousand","1505.3"
"Persons aged 15-89 years in Employment","2014Q1","Both sexes","Financial, insurance and real estate activities (K,L)","Thousand","100.9"
